id;balance;nombre;apellido
1;94227;Factors;auxiliary Beauty Rubber
2;84685;violet dot-com;Fantastic Wooden Cheese Granite reciprocal
3;88016;white Small Steel Tuna;structure Borders Lempira
4;92627;Saudi Riyal Dynamic;Tenge XML Plastic
5;91676;GB;lavender cross-platform Gorgeous
6;62487;Re-engineered;Bolivar Fuerte
7;21338;Infrastructure;back-end
8;65729;Chips deposit;Secured Chair New Mexico
9;84948;Georgia deposit Wisconsin;e-services Delaware
10;91888;Representative Latvia;Intranet generating Director
